Full Product Name,Brand,Name,Speed,Control,Stiffness,Overall,Price,Ratings
Butterfly Keyshot Light,Butterfly,Keyshot Light,8.6,8.9,5.4,9,$95.00,19
Butterfly Kim Taek Soo,Butterfly,Kim Taek Soo,9.6,7.3,9,8,$100.00,4
Butterfly Kiso Hinoki V,Butterfly,Kiso Hinoki V,8,8.9,5,9.1,$50.00,8
Butterfly Kiso Hinoki VII,Butterfly,Kiso Hinoki VII,8.7,8.2,6.3,9,$85.00,3
Butterfly Kong Linghui,Butterfly,Kong Linghui,7.9,8.4,3.4,8.6,$150.00,7
Butterfly Kong Linghui Euro,Butterfly,Kong Linghui Euro,8,8,5.9,8,$90.00,16
Butterfly Kong Linghui Special,Butterfly,Kong Linghui Special,8.5,8.7,5.4,9.1,$100.00,12
Butterfly Korbel MagicHand,Butterfly,Korbel MagicHand,8.9,7.8,6,8.3,$80.00,3
Butterfly Korbel SK7,Butterfly,Korbel SK7,8.4,8.7,6.3,9.1,$80.00,25
Butterfly Korbel Speed,Butterfly,Korbel Speed,7.6,8.1,5.5,7.7,$91.00,9
Butterfly Kreanga Aeros Off+,Butterfly,Kreanga Aeros Off+,9.3,8.2,7.3,9.1,$121.00,9
Butterfly Kreanga Carbon,Butterfly,Kreanga Carbon,9.3,7.5,7.6,9.2,$400.00,24
Butterfly Kreanga PowerKev Carbon,Butterfly,Kreanga PowerKev Carbon,9.7,9.6,0,9.5,$110.00,2
Butterfly Kreanga Powerspin,Butterfly,Kreanga Powerspin,8.4,7.8,5.9,8.2,$65.00,8
Butterfly Kumpuru,Butterfly,Kumpuru,8.4,8.7,7,8.9,$100.00,3
Butterfly Lapuhta,Butterfly,Lapuhta,10,9.5,6.5,9.5,$69.00,2
Butterfly Lejumu,Butterfly,Lejumu,6.5,7.5,10,7,$56.00,2
Butterfly Liu Shiwen,Butterfly,Liu Shiwen,9.1,9.5,3.5,9.6,$259.00,43
Butterfly Liu Shiwen ZLF,Butterfly,Liu Shiwen ZLF,9.4,9.5,4,9.7,$259.00,3
Butterfly Madash,Butterfly,Madash,8,8,3,9,$50.00,1
Butterfly Marcos Freitas ALC,Butterfly,Marcos Freitas ALC,9,9.2,5,9.3,$203.00,11
Butterfly Matsushita Pro,Butterfly,Matsushita Pro,6,8.7,2.9,8.5,$50.00,10
Butterfly Matsushita Pro Alpha,Butterfly,Matsushita Pro Alpha,7.5,9.5,3,9,$140.00,2
Butterfly Matsushita Pro Special,Butterfly,Matsushita Pro Special,7.1,9.3,6.5,8.6,$120.00,4
Butterfly Maze Advance,Butterfly,Maze Advance,5.8,9.8,6,9.7,$47.00,4
Butterfly Maze Magic,Butterfly,Maze Magic,8.5,8,5,8.3,$45.00,1
Butterfly Maze Passion,Butterfly,Maze Passion,8,8.9,5.7,8.8,$65.00,13
Butterfly Maze Performance,Butterfly,Maze Performance,8.5,8.4,5.1,8.9,$70.00,15
Butterfly Maze T-Tec ALL+,Butterfly,Maze T-Tec ALL+,7.6,8.6,9,8.8,$60.00,4
Butterfly Maze T-Tec OFF,Butterfly,Maze T-Tec OFF,8,8.3,5.1,8.7,$85.00,8
Butterfly Mazunov,Butterfly,Mazunov,8.8,7.7,6.7,8.6,$80.00,14
Butterfly Michael Maze,Butterfly,Michael Maze,8.6,8.6,5.2,9.3,$250.00,53
Butterfly Millerga,Butterfly,Millerga,8.2,8.6,4,8.5,$49.00,4
Butterfly Moonbeam,Butterfly,Moonbeam,9.2,6.6,8.3,8.8,$400.00,15
Butterfly Nitchugo Super,Butterfly,Nitchugo Super,8.9,8.4,7.5,9,$50.00,7
Butterfly Oh Sang Eun,Butterfly,Oh Sang Eun,7.8,8.9,4.9,9,$65.00,20
Butterfly Perdir,Butterfly,Perdir,9,9.5,5,9.5,,1
Butterfly Petr Korbel,Butterfly,Petr Korbel,8.3,8.6,5,8.9,$63.00,79
Butterfly Phalanx II,Butterfly,Phalanx II,7.9,8.9,5,9,$56.00,3
Butterfly Photino,Butterfly,Photino,9.3,8.4,5.5,9.5,$200.00,28
Butterfly Photino Light,Butterfly,Photino Light,9.4,8.4,4.4,9.2,$159.00,15
Butterfly Power 7,Butterfly,Power 7,9,8.4,5.2,8.8,$60.00,13
Butterfly Power Defence,Butterfly,Power Defence,8,7.5,10,8.3,$55.00,2
Butterfly Power Drive,Butterfly,Power Drive,8.5,8.8,5,9.2,,3
Butterfly Power Drive II,Butterfly,Power Drive II,8.9,9.1,3,9.9,$80.00,4
Butterfly Primo Vitesse,Butterfly,Primo Vitesse,8.4,8.4,6.5,8.6,$100.00,12
Butterfly Primorac,Butterfly,Primorac,7.7,8.8,4.5,8.7,$50.00,77
Butterfly Primorac 2000,Butterfly,Primorac 2000,8.3,8.4,5,9.2,$40.00,4
Butterfly Primorac 2017,Butterfly,Primorac 2017,7.8,8.5,3,8.3,$45.00,2
Butterfly Primorac Carbon,Butterfly,Primorac Carbon,9.3,7.4,7.2,8.9,$108.00,56
Butterfly Primorac EX,Butterfly,Primorac EX,8.3,9.2,4.8,9.2,$68.00,16
Butterfly Ranunculus,Butterfly,Ranunculus,,,7,,,1
Butterfly Redox,Butterfly,Redox,7.8,8.2,5,8.5,$63.00,1
Butterfly Retriever,Butterfly,Retriever,7.5,9,7,10,$115.00,1
Butterfly Ryu Seung Min G Max,Butterfly,Ryu Seung Min G Max,9.7,8.7,6.8,9.6,$120.00,4
Butterfly Ryu Seung Min Max,Butterfly,Ryu Seung Min Max,9.8,7,10,9.9,$200.00,1
Butterfly Ryu Seung Min ZLC Japanese,Butterfly,Ryu Seung Min ZLC Japanese,9,8.6,5,9.4,$350.00,1
Butterfly SA-01,Butterfly,SA-01,5.8,9.2,5,9,$58.00,1
Butterfly Sardius,Butterfly,Sardius,9.5,7.1,8.4,8.8,$135.00,54
Butterfly Schlager Aramid Carbon OFF,Butterfly,Schlager Aramid Carbon OFF,8.3,9.5,5,9,$150.00,2
Butterfly Schlager Carbon,Butterfly,Schlager Carbon,9.5,7.3,8.5,9,$300.00,48
Butterfly Schlager Carbon Light,Butterfly,Schlager Carbon Light,9.2,8.1,6,9.3,$150.00,9
Butterfly Schlager Inspire,Butterfly,Schlager Inspire,9.6,7.2,7,9,$85.00,1
Butterfly Schlager Precision,Butterfly,Schlager Precision,7.6,8.1,5.1,8.4,$71.00,15
Butterfly SCS-2000,Butterfly,SCS-2000,7.5,7.3,4,7.7,$35.00,2
Butterfly Senkoh 85,Butterfly,Senkoh 85,7.8,8.3,8.5,8,$55.00,3
Butterfly Senkoh 90,Butterfly,Senkoh 90,8.9,8.4,6.2,9.2,$75.00,5
Butterfly Senkoh HCK,Butterfly,Senkoh HCK,9,8,5,8,$85.00,1
Butterfly Senkoh MAX,Butterfly,Senkoh MAX,9.4,8.1,5.9,9,$75.00,7
Butterfly Senkoh Special 90,Butterfly,Senkoh Special 90,9,9,10,9,$76.00,1
Butterfly Senkoh-1,Butterfly,Senkoh-1,8.3,8.5,6.8,8.6,$85.00,6
Butterfly Senkoh-5,Butterfly,Senkoh-5,8,9,5,8,$53.00,2
Butterfly SK Carbon,Butterfly,SK Carbon,8.6,8.3,4.8,8.7,$106.00,6
Butterfly SK Classic,Butterfly,SK Classic,8.7,9,7,9,$89.00,1
Butterfly SK7,Butterfly,SK7,8.4,8.7,4.8,8.7,$99.00,5
Butterfly Taksim,Butterfly,Taksim,9,8.6,6.2,9.2,$260.00,12
Butterfly Tamaropa,Butterfly,Tamaropa,9,6,,,$20.00,1
Butterfly Tamca Gergely 5000,Butterfly,Tamca Gergely 5000,9,5,10,9.8,,1
Butterfly Tamca ULC,Butterfly,Tamca ULC,9,7,6.7,9.3,$126.00,3
Butterfly Tiago Apolonia ZLC,Butterfly,Tiago Apolonia ZLC,9.1,9,5.2,9.4,$260.00,11
Butterfly Timberfeel OFF-,Butterfly,Timberfeel OFF-,8,9.2,5,9.3,$66.00,4
Butterfly Timbershot Off+,Butterfly,Timbershot Off+,9,8,7,8,$90.00,2
Butterfly Timbertouch ALL,Butterfly,Timbertouch ALL,7.2,9.3,5,9.5,$53.00,2
Butterfly Timo Boll,Butterfly,Timo Boll,8,9.5,3,9.3,$45.00,3
Butterfly Timo Boll ALC,Butterfly,Timo Boll ALC,8.9,8.6,5.7,9.3,$150.00,115
Butterfly Timo Boll ALL,Butterfly,Timo Boll ALL,7,9.5,6.7,9.1,$55.00,3
Butterfly Timo Boll ALL+,Butterfly,Timo Boll ALL+,7.8,9.1,3.7,8.7,$53.00,25
Butterfly Timo Boll CAF,Butterfly,Timo Boll CAF,9.5,8.7,5,9.7,$113.00,4
Butterfly Timo Boll Forte,Butterfly,Timo Boll Forte,8.5,8.2,5.2,8.5,$70.00,21
Butterfly Timo Boll OFF-,Butterfly,Timo Boll OFF-,7.9,8.6,5.3,8.8,$65.00,19
Butterfly Timo Boll Spark,Butterfly,Timo Boll Spark,7.6,8.1,3.5,8.5,$145.00,13
Butterfly Timo Boll Spirit,Butterfly,Timo Boll Spirit,8.5,8.5,5.5,9.3,$115.00,106
Butterfly Timo Boll T5000 Tamca,Butterfly,Timo Boll T5000 Tamca,9.6,8,7.2,9.1,$140.00,24
Butterfly Timo Boll W5,Butterfly,Timo Boll W5,8.5,9,5.3,9.3,$85.00,25
Butterfly Timo Boll W7,Butterfly,Timo Boll W7,8.9,8.7,7.1,8.6,$93.00,14
Butterfly Timo Boll XXS,Butterfly,Timo Boll XXS,8,8.3,6.7,8.3,$25.00,4
Butterfly Timo Boll ZLC,Butterfly,Timo Boll ZLC,9.4,9.1,5.4,9.3,$227.00,41
Butterfly Timo Boll ZLF,Butterfly,Timo Boll ZLF,8.8,9.3,5.1,9.4,$250.00,43
Butterfly Viscaria,Butterfly,Viscaria,9,8.7,5,9.4,$148.00,109
Butterfly Viscaria Light,Butterfly,Viscaria Light,8.8,8.3,6.2,9.5,$150.00,17
Butterfly VSG-1000,Butterfly,VSG-1000,9.3,7.7,4,8.6,$196.00,6
Butterfly VSG-2000,Butterfly,VSG-2000,9.2,7.8,6.4,8.4,$46.00,7
Butterfly VSG-3000,Butterfly,VSG-3000,8.2,8.4,5,8.5,$60.00,2
Butterfly VSG-4000,Butterfly,VSG-4000,8,8.2,6.6,8.5,$44.00,6
Butterfly VSG-TWIST I,Butterfly,VSG-TWIST I,,,10,,$60.00,1
Butterfly VSG-TWIST II,Butterfly,VSG-TWIST II,9,9,5,8,$60.00,2
Butterfly VSG-TWIST III,Butterfly,VSG-TWIST III,2.9,9.9,3,8.9,$64.00,1
Butterfly VSG-TWIST IV,Butterfly,VSG-TWIST IV,9,6,6,9,$80.00,2
Butterfly Wakaba-An,Butterfly,Wakaba-An,8,8.4,4.6,8,$40.00,10
Butterfly XStar,Butterfly,XStar,7.2,8.8,3.7,8.5,$50.00,6
Butterfly XStar III,Butterfly,XStar III,6.5,9.1,3,8.8,$55.00,1
Butterfly XStar IV,Butterfly,XStar IV,7.3,9.5,7,9,$66.00,2
Butterfly Yoshida Kaii,Butterfly,Yoshida Kaii,8.3,8.5,7,9.3,$75.00,4
Butterfly Yuki-II,Butterfly,Yuki-II,8.5,8.9,5,8.9,$40.00,1
Butterfly Zhang Jike,Butterfly,Zhang Jike,8.6,9.1,4.8,9.4,$160.00,30
Butterfly Zhang Jike ALC,Butterfly,Zhang Jike ALC,9.2,9,5.7,9.5,$165.00,22
Butterfly Zhang Jike Super ZLC,Butterfly,Zhang Jike Super ZLC,9.4,9.4,6.3,9.5,$413.00,37
Butterfly Zhang Jike T5000,Butterfly,Zhang Jike T5000,9,8.8,7,9.3,$170.00,5
Butterfly Zhang Jike ZLC,Butterfly,Zhang Jike ZLC,9.1,8.8,7.8,9,$275.00,5
Butterfly Zhang Yining,Butterfly,Zhang Yining,7.9,8.3,4,8.5,$55.00,2
Champion Bipa,Champion,Bipa,9,9,7,8.8,$30.00,1
Champion Bipa Special,Champion,Bipa Special,9,9,7,9,$40.00,2
Champion Hinoki Pro Gold,Champion,Hinoki Pro Gold,9,8,3,8,$90.00,1
Cornilleau AERO ALL,Cornilleau,AERO ALL,5.5,9.5,3,,,1
Cornilleau AERO ALL+,Cornilleau,AERO ALL+,9.5,,,,,1
Cornilleau AERO OFF,Cornilleau,AERO OFF,8.6,9,5.7,8.4,$50.00,3
Cornilleau Aero OFF+ Soft Carbon,Cornilleau,Aero OFF+ Soft Carbon,9.1,8.7,4.4,9.3,$59.00,14
Cornilleau Calderano FOCO OFF+,Cornilleau,Calderano FOCO OFF+,9.1,9.5,6,9.4,$48.00,2
Cornilleau CONQUEST OFF,Cornilleau,CONQUEST OFF,8.3,9.1,7,9.7,$95.00,3
Cornilleau Gatien Absolum OFF+,Cornilleau,Gatien Absolum OFF+,9.6,7.9,7,9.6,$120.00,3
Cornilleau Gatien Crown ALL+,Cornilleau,Gatien Crown ALL+,7.5,9.5,4,9,$45.00,2
Cornilleau Hinotec ALL+,Cornilleau,Hinotec ALL+,7.5,7.3,5,7.5,,2
Cornilleau Hinotec OFF,Cornilleau,Hinotec OFF,8.2,8.5,4.3,8.7,$65.00,4
Cornilleau Hinotec OFF-,Cornilleau,Hinotec OFF-,7.8,8.5,3.8,8.3,$71.00,5
Cornilleau Hinotec OFF+ Carbon,Cornilleau,Hinotec OFF+ Carbon,9.1,7.8,5,7.8,$100.00,6
Cornilleau Hugo Calderano OFF-,Cornilleau,Hugo Calderano OFF-,6,6,3,6,$60.00,1
Cornilleau Hugo Calderano OFF+,Cornilleau,Hugo Calderano OFF+,8,8.5,6.3,9.7,$60.00,3
Cornilleau ORIGIN OFF-,Cornilleau,ORIGIN OFF-,8.5,8.9,6,8.6,,2
Cornilleau PURE CARBON OFF+,Cornilleau,PURE CARBON OFF+,9.1,7.7,7,8.6,$88.00,3
Cornilleau Simon Gauzy Quest Off,Cornilleau,Simon Gauzy Quest Off,8.3,9.4,6.2,9.4,$45.00,7
Cornilleau VISION SOFT CARBON OFF+,Cornilleau,VISION SOFT CARBON OFF+,8.7,8,6.4,9.1,$45.00,9
CTTA Carbon Strike,CTTA,Carbon Strike,7.8,8.5,2.5,8,$32.00,2
CTTA Pro Tour Carbon Flex,CTTA,Pro Tour Carbon Flex,8.2,8.8,3.3,9,$32.00,3
CTTA Super League Pro Flex,CTTA,Super League Pro Flex,8,8,5,8,$18.00,1
CTTA Super League Silver Power,CTTA,Super League Silver Power,6.8,8.3,6,7.1,$18.00,2
Darker 5P-2A,Darker,5P-2A,8.4,8.4,5,9.3,$90.00,2
Darker 7P-2A,Darker,7P-2A,8.3,9.2,6.5,9.6,$103.00,8
Darker 7p-2a Point Carbon,Darker,7p-2a Point Carbon,8.6,9.2,3,9,$120.00,1
Darker 7P-2A.7t,Darker,7P-2A.7t,8.6,9.1,5.8,9.2,$118.00,5
Darker 7P-2A.Carbon,Darker,7P-2A.Carbon,8.8,9.6,4.7,8.9,$128.00,8
Darker 7P-2A.DF,Darker,7P-2A.DF,6.7,9.6,3.3,8.9,$90.00,4
Darker Esteem,Darker,Esteem,9.4,9.3,5.4,9.2,$121.00,10
Darker Hinoki Tanpan,Darker,Hinoki Tanpan,8.5,8.8,6,9,$400.00,3
Darker Legato 2A,Darker,Legato 2A,8.3,8.5,6,8.1,$66.00,2
Darker Liberta Synergy,Darker,Liberta Synergy,9.3,9.4,5,9.3,$141.00,2
Darker Mai Gouban,Darker,Mai Gouban,9.1,9.4,5,9.2,$100.00,1
Darker Serio Sakura,Darker,Serio Sakura,9.5,8.5,5,9,$150.00,1
Darker Speed 25 AL,Darker,Speed 25 AL,9,9,5,9.5,$89.00,1
Darker Speed 90,Darker,Speed 90,9.5,9.4,4.3,9.5,$300.00,26
Dawei Genote Quattro F (EF),Dawei,Genote Quattro F (EF),8.3,8.8,7,8.8,$25.00,4
Dawei Genote Quattro O (EO),Dawei,Genote Quattro O (EO),8,9,0,8.2,$32.00,1
Dawei Genote Quattro S (ES),Dawei,Genote Quattro S (ES),8.1,7.5,2.8,8.3,$32.00,4
Dawei Genote Quattro X (EX),Dawei,Genote Quattro X (EX),8.8,8,5,8,$31.00,3
Dawei GTO,Dawei,GTO,8.2,8.6,6,8.6,$38.00,3
Dawei GTS,Dawei,GTS,7.3,7.2,3.8,8.7,$32.00,4
Dawei Kama,Dawei,Kama,8.4,8.5,5,8.5,$11.00,3
Dawei Matrix,Dawei,Matrix,8.2,8.4,4.2,8.3,$18.00,8
Dawei Maxim,Dawei,Maxim,9.1,7.6,5,7,$35.00,1
Dawei MHN 1-Ply Hinoki,Dawei,MHN 1-Ply Hinoki,8.4,8.2,1.5,8.4,$40.00,2
Dawei MPI,Dawei,MPI,7,7.5,10,7.5,$35.00,1
Dawei MPV,Dawei,MPV,8,6,10,8,$47.00,1
Dawei Navigator WRC,Dawei,Navigator WRC,8.8,8.6,5,9,$33.00,1
Dawei Quattro Allround Limba,Dawei,Quattro Allround Limba,8.3,9,4,8.8,$22.00,2
Dawei R2,Dawei,R2,7.9,8.7,4.7,8.7,$14.00,6
Dawei R3,Dawei,R3,8.3,10,3,10,$15.00,2
Dawei R5,Dawei,R5,8,7,8.5,8,$15.00,3
Dawei S.Matz,Dawei,S.Matz,8.8,8.6,7,8.8,$40.00,1
Dawei Saviga+,Dawei,Saviga+,8.5,9.5,3,,$22.00,1
Dawei Swift,Dawei,Swift,7.8,8,7,8,$36.00,1
Dawei Wavestone,Dawei,Wavestone,10,6,10,8.9,$32.00,1
Dawei Wavestone WRB,Dawei,Wavestone WRB,9.1,7.4,6.8,9.1,$43.00,6
Dawei Whizz,Dawei,Whizz,7,8,,8,$36.00,1
Der Materialspezialist Defensor,Der Materialspezialist,Defensor,6,10,3,10,$90.00,1
Der Materialspezialist Dr. Jekyll And Mr. Hyde,Der Materialspezialist,Dr. Jekyll And Mr. Hyde,6.5,8.5,4,8,$86.00,2
Der Materialspezialist Excalibur,Der Materialspezialist,Excalibur,8,9,5,8.5,$75.00,1
Der Materialspezialist The Wall,Der Materialspezialist,The Wall,5,9.8,5,9.7,$75.00,1
Der Materialspezialist Trouble,Der Materialspezialist,Trouble,6,10,3,10,$65.00,1
Der Materialspezialist Wizard,Der Materialspezialist,Wizard,8,9,5,10,$68.00,1
DHS 506 Ma Long,DHS,506 Ma Long,9.2,9.2,7,9.4,$113.00,13
DHS Classic (1970s),DHS,Classic (1970s),9,9,7,9,$50.00,1
DHS DHS Hurricane Fang Bo B2X,DHS,DHS Hurricane Fang Bo B2X,9.7,9.7,7,10,$60.00,3
DHS Di-GT 9 Dipper Blackwood,DHS,Di-GT 9 Dipper Blackwood,9.2,9,7,9.2,$75.00,1
DHS DI-HT,DHS,DI-HT,8.4,9.4,5,8.2,$54.00,1
DHS Dipper CP Monocarbon,DHS,Dipper CP Monocarbon,7.7,8.5,6,8.7,$42.00,5
DHS Dipper Di-02,DHS,Dipper Di-02,7.7,7.8,3.7,7.9,$115.00,6
DHS Dipper Di-03,DHS,Dipper Di-03,7.5,8.8,7,8,$32.00,2
DHS Dipper Di-13,DHS,Dipper Di-13,8.3,8.3,5,8.6,$39.00,2
DHS Dipper Di-15,DHS,Dipper Di-15,,,,,$39.00,1
DHS Dipper Di-16,DHS,Dipper Di-16,,,,,$39.00,1
DHS Dipper M C10,DHS,Dipper M C10,10,6,10,8,$56.00,1
DHS Dipper M SP500,DHS,Dipper M SP500,9.5,7.5,5,,$90.00,1
DHS Di-RT Dipper Rosewood,DHS,Di-RT Dipper Rosewood,9,8.9,6,9.8,$70.00,2
DHS Fang Bo Carbon,DHS,Fang Bo Carbon,9.4,9,5.4,9.2,$72.00,21
DHS Hurricane 301,DHS,Hurricane 301,9.2,9.5,4.1,9.6,$69.00,59
DHS Hurricane Bo 2 (Hurricane B2),DHS,Hurricane Bo 2 (Hurricane B2),9.5,9.2,5,9.4,$70.00,13
DHS Hurricane Hao,DHS,Hurricane Hao,8.1,8.9,4.2,8.6,$89.00,14
DHS Hurricane Hao 656,DHS,Hurricane Hao 656,8.7,9.3,6.2,9.3,$139.00,16
DHS Hurricane Hao II,DHS,Hurricane Hao II,8.5,9.8,5,9.3,$150.00,2
DHS Hurricane Hao III,DHS,Hurricane Hao III,9,9.4,7.4,9.5,$168.00,15
DHS Hurricane H-GY,DHS,Hurricane H-GY,9.1,9.6,6,9.6,$99.00,2
DHS Hurricane H-LG,DHS,Hurricane H-LG,8,6.5,6.5,7.3,$99.00,2
DHS Hurricane H-LN,DHS,Hurricane H-LN,8,9,,9,$98.00,1
DHS Hurricane H-TP,DHS,Hurricane H-TP,9.1,8.7,2.3,9.4,$41.00,5
DHS Hurricane H-WH,DHS,Hurricane H-WH,8.8,8.4,5.5,8.9,$70.00,7
DHS Hurricane H-WL,DHS,Hurricane H-WL,9.5,8.5,7.1,9.3,$50.00,24
DHS Hurricane H-WN,DHS,Hurricane H-WN,8.7,8,6.3,9,$65.00,3
DHS Hurricane King,DHS,Hurricane King,8.6,8.8,5.8,9.1,$141.00,27
DHS Hurricane King 655,DHS,Hurricane King 655,8.4,8.6,5.3,9.1,$134.00,10
DHS Hurricane King III,DHS,Hurricane King III,9.3,9.1,6.8,9.5,$199.00,17
DHS Hurricane Long,DHS,Hurricane Long,9.6,9.4,5.5,9.5,$190.00,6
DHS Hurricane Long 2,DHS,Hurricane Long 2,9.2,9.5,7.2,9.1,$200.00,10
DHS Hurricane Long 3,DHS,Hurricane Long 3,9.4,9.4,5.3,9.6,$200.00,34
DHS Hurricane Long 5,DHS,Hurricane Long 5,9.7,9.3,5.5,9.6,$190.00,62
DHS Hurricane Long 5x,DHS,Hurricane Long 5x,9.7,9.4,6.3,9.6,$130.00,3
DHS Hurricane No.2,DHS,Hurricane No.2,7.3,8.3,7,8.7,$60.00,2
DHS Hurricane Xia,DHS,Hurricane Xia,9.6,9.9,5,9.8,$172.00,1
DHS Ma Long Balance,DHS,Ma Long Balance,7,8,7,7,$39.00,1
DHS Ma Long Energy,DHS,Ma Long Energy,9.3,9.4,5,9.6,$55.00,1
DHS Magic C03,DHS,Magic C03,7.5,8,3,8,$28.00,1
DHS Magician M-02,DHS,Magician M-02,8.2,9.2,2.7,8.7,$30.00,3
DHS Magician M-03,DHS,Magician M-03,7.2,9.3,3.8,9,$25.00,5
DHS Magician M-13,DHS,Magician M-13,7,7,10,5,$37.00,1
DHS Neo TG825,DHS,Neo TG825,9.4,9,7,9.5,$90.00,1
DHS PF4 032,DHS,PF4 032,8.5,8.8,7.1,9.1,$30.00,8
DHS PF4 08,DHS,PF4 08,7.5,8,6.3,8.4,$30.00,4
DHS Power-G 5 PG5,DHS,Power-G 5 PG5,8.2,8.8,6.2,9.5,$35.00,6
DHS Power-G PG12,DHS,Power-G PG12,8.8,8.3,5.3,8.7,$45.00,6
DHS Power-G PG13,DHS,Power-G PG13,8.7,8.3,6.3,8.7,$42.00,7
DHS Power-G PG15,DHS,Power-G PG15,9,9.1,4,9.1,$40.00,2
DHS Power-G PG2-L,DHS,Power-G PG2-L,7.5,8.3,5.5,8.5,$27.00,4
DHS Power-G PG2-S,DHS,Power-G PG2-S,6,9,3,,$27.00,1
DHS Power-G PG3,DHS,Power-G PG3,7.8,8.1,2.3,8.1,$33.00,6
DHS Power-G PG7,DHS,Power-G PG7,8.9,8.9,5.9,9.2,$28.00,132
DHS Power-G PG8,DHS,Power-G PG8,7.8,8.2,6.5,8.3,$30.00,4
DHS Power-G PG9,DHS,Power-G PG9,9.2,8.7,6.3,8.9,$30.00,12
DHS Skyline TG7-AL,DHS,Skyline TG7-AL,9.5,8.9,5.6,9.3,$80.00,9
DHS Skyline TG7-BL,DHS,Skyline TG7-BL,7.8,7.5,6,,$80.00,2
DHS Skyline TG7-BS,DHS,Skyline TG7-BS,9,9.5,10,10,$80.00,1
DHS TG 506+,DHS,TG 506+,9.3,9.4,7,9.5,$119.00,2
DHS TG-7 CP,DHS,TG-7 CP,9.4,8,8.5,8.9,$96.00,2
DHS TG-7 CP2,DHS,TG-7 CP2,8.8,9.1,6,9.4,$120.00,6
DHS TG-7 P,DHS,TG-7 P,9.3,9.6,5,9.6,$67.00,3
DHS TG-7 P2,DHS,TG-7 P2,9,9,5,,$75.00,1
DHS TG825-L,DHS,TG825-L,9.8,8.2,4.7,9.5,$130.00,3
DHS W968-5,DHS,W968-5,10,10,10,10,$500.00,1
DHS Wang Hao Control,DHS,Wang Hao Control,7.5,9.5,5,8,$33.00,1
DHS Wang Hao Special,DHS,Wang Hao Special,7,7,7,7,$39.00,1
DHS Wang Liqin Carbon,DHS,Wang Liqin Carbon,9.3,8.2,5,8.4,$67.00,1
DHS Wang Liqin Legend,DHS,Wang Liqin Legend,8.7,9.2,3,8.8,$45.00,1
DHS Wang Liqin Magic,DHS,Wang Liqin Magic,8.5,9,5,9.5,$33.00,1
DHS Wang Liqin Penhold,DHS,Wang Liqin Penhold,9.5,8.3,5,9.4,$50.00,1
DHS Wind CW-C,DHS,Wind CW-C,9.4,7.3,9,8.6,$40.00,22
DHS Wind CW-E,DHS,Wind CW-E,7.9,9,5,8.8,$26.00,1
DHS Wind SR-A,DHS,Wind SR-A,7.6,9.3,5,8.9,$40.00,5
DHS Wind W1030,DHS,Wind W1030,8.4,8.5,5,8.2,$23.00,1
Dimanka Hurricane 5,Dimanka,Hurricane 5,10,8.8,7,9.9,$80.00,1
Dingo+Swiss ALPEN WOOD BLADE,Dingo+Swiss,ALPEN WOOD BLADE,4,3,10,1,$94.00,1
Donic Alligator Combi,Donic,Alligator Combi,6.4,9.5,5.9,9.2,$48.00,9
Donic Appelgren Allplay,Donic,Appelgren Allplay,6.8,8.8,4,8.9,$28.00,38
Donic Appelgren Allplay Senso V1,Donic,Appelgren Allplay Senso V1,6.7,8.9,2.5,8.9,$44.00,11
Donic Appelgren Allplay Senso V2,Donic,Appelgren Allplay Senso V2,7,9.1,3.6,9.2,$45.00,7
Donic Appelgren Dotec Control,Donic,Appelgren Dotec Control,7.4,8.4,5,8.2,$43.00,12
Donic Appelgren Exclusive AR,Donic,Appelgren Exclusive AR,7.5,8.4,4.1,7.8,$31.00,7
Donic Appelgren Falcon,Donic,Appelgren Falcon,7.5,9,3,10,$40.00,1
Donic Appelgren World Champion 89,Donic,Appelgren World Champion 89,8.3,9.7,5.1,9,$112.00,10
Donic BalsaCarbo Fibre,Donic,BalsaCarbo Fibre,7.9,8.3,5.5,8.2,$93.00,5
Donic Baum Carrera Senso,Donic,Baum Carrera Senso,9.4,7.9,6.3,9.1,$43.00,4
Donic Baum Esprit,Donic,Baum Esprit,8.7,9.1,4.9,9.3,$52.00,12
Donic Baum SawTec OFF,Donic,Baum SawTec OFF,8.3,8.7,4.5,9,$39.00,5
Donic Black Thunder V1,Donic,Black Thunder V1,9.1,6.9,10,6.9,$61.00,2
Donic Bloodwood 5,Donic,Bloodwood 5,8.3,8.4,5.4,8.7,$77.00,6
Donic Bloodwood 7 Senso,Donic,Bloodwood 7 Senso,8.8,8,9.3,8.9,$99.00,6
Donic Blue Feeling,Donic,Blue Feeling,7.6,9.6,5,9.6,$53.00,1
Donic Burn ALL+,Donic,Burn ALL+,7.9,8.8,6.3,8.7,$50.00,18
Donic Burn Aratox,Donic,Burn Aratox,8.2,8.5,4.6,9,,6
Donic Burn Aratox RS,Donic,Burn Aratox RS,8.7,8,6.3,8.9,$85.00,10
Donic Burn Carbotox,Donic,Burn Carbotox,9.2,9.1,5.4,9.3,$70.00,6
Donic Burn OFF,Donic,Burn OFF,9.2,8.4,7,9.2,$36.00,5
Donic Burn OFF-,Donic,Burn OFF-,8.3,8.4,5.4,8.8,$50.00,22
Donic Carbo System OFF-,Donic,Carbo System OFF-,7.9,8.2,6.3,7.8,$60.00,5
Donic Carbo System OFFENSIVE,Donic,Carbo System OFFENSIVE,9.2,7.5,10,8.4,$60.00,1
