Full Product Name,Brand,Name,Speed,Control,Stiffness,Overall,Price,Ratings
Andro Kinetic Record OFF-,Andro,Kinetic Record OFF-,8,9.1,4,9.3,$59.00,2
Andro Kinetic Record OFF+,Andro,Kinetic Record OFF+,9.5,9,7,9,$59.00,1
Andro Kinetic Supreme ALL,Andro,Kinetic Supreme ALL,7.5,8.3,4.4,8.7,$54.00,9
Andro Kinetic Supreme ALL+,Andro,Kinetic Supreme ALL+,8.3,9.2,5.8,9,$58.00,5
Andro Kinetic Supreme Carbon OFF,Andro,Kinetic Supreme Carbon OFF,9,7.7,8,8,$100.00,3
Andro Kinetic Supreme Carbon OFF+,Andro,Kinetic Supreme Carbon OFF+,9.3,7.3,8.5,7,$86.00,2
Andro Kinetic Supreme OFF,Andro,Kinetic Supreme OFF,8.2,9,6,8.7,$58.00,7
Andro Kinetic Supreme OFF-,Andro,Kinetic Supreme OFF-,8.5,8.8,5.7,8.8,$55.00,14
Andro Kinetic Supreme OFF- Kiso Hinoki Zylon,Andro,Kinetic Supreme OFF- Kiso Hinoki Zylon,8.7,9.5,5.6,9.3,$135.00,5
Andro Kinetic Supreme Zylon/Kiso-Hinoki OFF-,Andro,Kinetic Supreme Zylon/Kiso-Hinoki OFF-,8.2,8.8,6,9.2,$135.00,8
Andro Ligna ALL+,Andro,Ligna ALL+,8.1,9.5,4.6,9.1,$102.00,6
Andro Ligna FR OFF,Andro,Ligna FR OFF,9.6,9.6,7,9.4,$150.00,9
Andro Ligna OFF,Andro,Ligna OFF,9.2,9.5,6.5,9.4,$150.00,16
Andro Ligna OFF+,Andro,Ligna OFF+,9.5,9.4,5.7,9.5,$150.00,10
Andro Ligna Tour OFF,Andro,Ligna Tour OFF,9.7,9.3,6.3,9.6,$140.00,7
Andro Nightmare OFF,Andro,Nightmare OFF,8.5,8.5,5,8.8,$50.00,1
Andro Novacell OFF,Andro,Novacell OFF,9.3,10,5,10,$47.00,2
Andro Novacell OFF/S,Andro,Novacell OFF/S,9.8,9.8,7,9.5,$55.00,2
Andro Parade DEF,Andro,Parade DEF,7,8.5,3,8.8,$69.00,1
Andro Performance OFF,Andro,Performance OFF,10,8,5,9,$45.00,1
Andro ProLoom,Andro,ProLoom,8.8,9.9,4,9.6,$134.00,2
Andro Super Core ALL+,Andro,Super Core ALL+,6,9,5,7.5,$25.00,2
Andro Super Core Carbon Light (CL) ALL+,Andro,Super Core Carbon Light (CL) ALL+,6.8,8.7,4.6,8.7,$60.00,6
Andro Super Core Carbon Light (CL) OFF,Andro,Super Core Carbon Light (CL) OFF,9.1,8.8,6.5,9,$50.00,9
Andro Super Core Carbon Light (CL) OFF+,Andro,Super Core Carbon Light (CL) OFF+,9.5,8,8.2,9.1,$60.00,8
Andro Super Core Cell ALL,Andro,Super Core Cell ALL,7.2,9.3,5,9.4,$35.00,1
Andro Super Core Cell ALL+,Andro,Super Core Cell ALL+,7.3,9,3.7,8.8,$54.00,7
Andro Super Core Cell Carbon OFF,Andro,Super Core Cell Carbon OFF,8.3,9.1,6.6,9,$87.00,9
Andro Super Core Cell OFF,Andro,Super Core Cell OFF,9.1,9,5.1,9.2,$65.00,18
Andro Super Core Cell OFF-,Andro,Super Core Cell OFF-,7.9,8.1,5.3,8,$54.00,8
Andro Super Core Cell OFF+,Andro,Super Core Cell OFF+,9.4,8.8,6.3,9.3,$65.00,14
Andro Super Core OFF-,Andro,Super Core OFF-,8.1,7.6,6,8.3,$58.00,2
Andro Temper Tech ALL+,Andro,Temper Tech ALL+,7.9,9.5,6.3,9.3,$51.00,42
Andro Temper Tech OFF,Andro,Temper Tech OFF,9,9.2,7.1,9.3,$70.00,14
Andro Temper Tech OFF-,Andro,Temper Tech OFF-,8.5,9.3,4.9,9.1,$45.00,31
Andro Temper Tech OFF+,Andro,Temper Tech OFF+,9.5,9.2,7.3,9.5,$62.00,30
Andro Timber 5 OFF,Andro,Timber 5 OFF,8.5,10,7,8.8,$50.00,1
Andro Timber 7 OFF/S,Andro,Timber 7 OFF/S,9.9,9.8,7,9.8,$55.00,1
Andro TP_Ligna Ci Off,Andro,TP_Ligna Ci Off,9.5,10,5,9.5,$130.00,1
Andro TP_Ligna CO OFF,Andro,TP_Ligna CO OFF,9.9,9.9,7,9.7,$150.00,3
Andro TP_Ligna OFF/S,Andro,TP_Ligna OFF/S,8.5,9,5,8.9,$150.00,2
Andro Treiber CI OFF,Andro,Treiber CI OFF,9.3,9.7,5.7,9.3,$103.00,8
Andro Treiber CO OFF,Andro,Treiber CO OFF,9.5,9.6,6.5,9.6,$85.00,14
Andro Treiber FI OFF,Andro,Treiber FI OFF,9.1,9.4,7,9.4,$96.00,3
Andro Treiber FO OFF,Andro,Treiber FO OFF,9.8,9.9,7,9.9,$96.00,4
Andro Treiber FO OFF/S,Andro,Treiber FO OFF/S,10,9.8,7,10,$85.00,1
Andro Treiber G,Andro,Treiber G,9,8.1,6,8.5,$75.00,4
Andro Treiber H,Andro,Treiber H,8.9,9.2,5.3,9.3,$88.00,15
Andro Treiber K,Andro,Treiber K,9,9.5,4.8,9.5,$80.00,34
Andro Treiber Q,Andro,Treiber Q,9.2,9.5,5.4,9.4,$90.00,21
Andro Treiber Z,Andro,Treiber Z,9.3,9.4,5.9,9.5,$125.00,57
Andro Tronum Aratox OFF+,Andro,Tronum Aratox OFF+,9.4,9.3,7,9.3,$71.00,5
Andro Tronum Carbotox OFF,Andro,Tronum Carbotox OFF,8.7,9.1,7,9.1,$71.00,4
Andro Wanokiwami AO OFF,Andro,Wanokiwami AO OFF,8.8,9.6,5.4,9.4,$150.00,21
Andro Wanokiwami Midori DEF,Andro,Wanokiwami Midori DEF,8,10,5,9.7,$170.00,2
Andro Wanokiwami Ren OFF,Andro,Wanokiwami Ren OFF,9.7,9.5,6.5,9.5,$225.00,8
Animus TERMINUS SERIES 1 ZLC | OFF+,Animus,TERMINUS SERIES 1 ZLC | OFF+,7.8,7.8,4.3,8.1,$200.00,4
Animus Victoria,Animus,Victoria,6.3,8,5.7,8,$133.00,3
Animus Victoria 2,Animus,Victoria 2,7.5,8.5,7,8.5,$133.00,1
Animus Virtus 5,Animus,Virtus 5,6,7.5,5,6.8,$95.00,2
Ariex Excellent Hinoki,Ariex,Excellent Hinoki,9.6,9.6,7.1,9.4,$200.00,7
Ariex Grampus Evolution,Ariex,Grampus Evolution,9.6,9.7,5.7,9.6,$95.00,6
Ariex Grampus Wisdom,Ariex,Grampus Wisdom,9.6,10,5,9.9,$95.00,5
Ariex Standard Hinoki,Ariex,Standard Hinoki,8.4,9.1,7,8.6,$85.00,3
ARTTE Nuvola,ARTTE,Nuvola,6.5,9.5,5,9.8,$120.00,1
Avalox AVX-V1,Avalox,AVX-V1,7,9,3,8,$55.00,1
Avalox Blue Thunder 550 (BT550),Avalox,Blue Thunder 550 (BT550),7.6,8.7,3.9,8.7,$65.00,16
Avalox Blue Thunder 555 (BT555),Avalox,Blue Thunder 555 (BT555),8.1,8.5,4.8,9.5,$65.00,9
Avalox Blue Thunder 777 (BT777),Avalox,Blue Thunder 777 (BT777),9,8.5,6,9.1,$99.00,14
Avalox Hado,Avalox,Hado,9,8.6,6.3,8.9,$145.00,7
Avalox J-Aramid,Avalox,J-Aramid,9.4,8.9,8.3,9,$125.00,11
Avalox J-Power,Avalox,J-Power,9.2,8.8,6.9,9.1,$90.00,11
Avalox J-Tech,Avalox,J-Tech,8.4,9.6,5.4,9.5,$95.00,9
Avalox Ma Wenge C555 Carbon,Avalox,Ma Wenge C555 Carbon,8.9,9,5.2,9.3,$92.00,10
Avalox Monoset,Avalox,Monoset,10,8,10,10,$110.00,2
Avalox Nittaku Avalox P777 FL,Avalox,Nittaku Avalox P777 FL,9.7,9.8,5,9.9,$200.00,2
Avalox P500,Avalox,P500,8.3,9.1,4.6,9.4,$65.00,26
Avalox P700,Avalox,P700,8.9,8.9,5.7,9.5,$77.00,29
Avalox P900,Avalox,P900,9.1,9.3,5,9.4,$100.00,2
Avalox Tosios,Avalox,Tosios,9.1,9,5,9.8,$90.00,2
Banda Dacota,Banda,Dacota,9,9,6,9.2,$100.00,2
Banda Gemini Off-,Banda,Gemini Off-,8,8,5,8,$66.00,1
Banda Pegasus,Banda,Pegasus,6.1,8.3,4.5,7.3,$38.00,4
BBC 9-10-9,BBC,9-10-9,8.5,9.6,7,9.3,$115.00,4
BBC All Around,BBC,All Around,6.7,9.2,5.7,9.3,$55.00,3
BBC Anvil,BBC,Anvil,8.5,8,10,8.5,$115.00,1
BBC Excalibur,BBC,Excalibur,8,8.5,5,9,$130.00,1
BBC Fiddler,BBC,Fiddler,8,9,3,10,$85.00,1
BBC Flash Drive 3.0,BBC,Flash Drive 3.0,8.7,8,3,9,$75.00,1
BBC Ghost Hinoki,BBC,Ghost Hinoki,9,8,5,9,$150.00,1
BBC NINE,BBC,NINE,9.2,9.5,5.7,9.7,$175.00,4
BBC Quad-Trip,BBC,Quad-Trip,,,,9,$135.00,1
BBC Ramin Cross,BBC,Ramin Cross,8.5,9,3,9,$85.00,1
BBC Single-ply Cypress,BBC,Single-ply Cypress,10,9.8,8,10,$75.00,4
BBC TriFlex Carbon,BBC,TriFlex Carbon,10,10,5,10,$135.00,3
Best of Five Carbon 2000 Defence,Best of Five,Carbon 2000 Defence,4.5,9.5,5,9,$70.00,2
Best of Five Carbon Light Allround,Best of Five,Carbon Light Allround,8.4,8.2,7,8.4,$63.00,2
Best of Five V3 ALL+,Best of Five,V3 ALL+,7,9.8,3,9.3,$50.00,1
Best of Five V5 OFF,Best of Five,V5 OFF,9.4,8.8,6,9.1,$55.00,2
BLutenkirsche B-3002,BLutenkirsche,B-3002,8.5,9.5,3,9.5,$15.00,1
BLutenkirsche B-3003,BLutenkirsche,B-3003,8,8,5,7,$15.00,1
BLutenkirsche B-3004,BLutenkirsche,B-3004,9,8,7,8,$25.00,1
BLutenkirsche B-3008,BLutenkirsche,B-3008,8,8.5,5,8.5,$20.00,1
BLutenkirsche B-CARBON,BLutenkirsche,B-CARBON,8.5,7.9,7,6,$17.00,2
BLutenkirsche Mamba Strike Special Edition,BLutenkirsche,Mamba Strike Special Edition,7.2,9.5,5,9,$25.00,1
BLutenkirsche Power Carbon,BLutenkirsche,Power Carbon,10,8,7,9.5,$40.00,2
Bomb Everest,Bomb,Everest,10,9.7,5,9.8,$230.00,3
Butterfly Adolescen,Butterfly,Adolescen,8.4,8.8,5,8.1,$62.00,2
Butterfly Aeolus S,Butterfly,Aeolus S,9.2,8,7,9.2,$90.00,6
Butterfly All - Supa,Butterfly,All - Supa,8,9,5,9,$45.00,1
Butterfly All Hinoki 5,Butterfly,All Hinoki 5,8,8.5,4.5,8.2,$50.00,5
Butterfly All Hinoki 7,Butterfly,All Hinoki 7,8.8,8.2,5,8.9,$60.00,5
Butterfly AMC 3000,Butterfly,AMC 3000,5,6,5,6,$29.00,1
Butterfly Amultart ZL Carbon,Butterfly,Amultart ZL Carbon,9.6,8.7,6.8,9.5,$230.00,47
Butterfly Andrzej Grubba,Butterfly,Andrzej Grubba,7,8.9,3.7,8.7,$53.00,22
Butterfly Andrzej Grubba 15,Butterfly,Andrzej Grubba 15,7.5,8,3,9,$53.00,1
Butterfly Andrzej Grubba Carbon,Butterfly,Andrzej Grubba Carbon,8.1,9.1,7.7,9.1,$60.00,10
Butterfly Apolonia ZLC,Butterfly,Apolonia ZLC,9.4,8.3,7.5,8.3,$269.00,4
Butterfly Balsa Carbo X3,Butterfly,Balsa Carbo X3,8,8.4,5.5,7.8,$65.00,4
Butterfly Balsa Carbo X5,Butterfly,Balsa Carbo X5,8.3,8.4,4.6,8.8,$85.00,54
Butterfly Balsa OFF,Butterfly,Balsa OFF,8.5,8.7,4.5,8.7,$69.00,4
Butterfly Bastian Steger,Butterfly,Bastian Steger,7.4,8.9,5,8,$52.00,4
Butterfly Bazelart,Butterfly,Bazelart,7.9,8.9,4,8,$99.00,3
Butterfly Biside,Butterfly,Biside,8,9,3,9.5,$100.00,1
Butterfly Boll Allround,Butterfly,Boll Allround,7.6,8.9,5,8.5,$60.00,4
Butterfly Boll Offensive,Butterfly,Boll Offensive,8.4,7.8,5,8.2,$65.00,4
Butterfly Boll TriCarbon,Butterfly,Boll TriCarbon,9.7,7.1,8.2,9.1,$115.00,38
Butterfly Chiang Peng Lung,Butterfly,Chiang Peng Lung,9.5,8.5,7,9.5,$180.00,1
Butterfly Chinese AL,Butterfly,Chinese AL,9,8.3,7,10,$95.00,3
Butterfly Chinese EX,Butterfly,Chinese EX,9.1,8.6,5,9.1,$64.00,1
Butterfly Chinese Real,Butterfly,Chinese Real,7.7,8.1,5.7,7.7,$50.00,3
Butterfly Chinese Tamca ULC,Butterfly,Chinese Tamca ULC,9,8.4,5.9,9.2,$135.00,8
Butterfly Chuan Chih Yuan,Butterfly,Chuan Chih Yuan,7.3,7.8,6.5,8,$75.00,4
Butterfly Chuan Chih Yuan Gold Medalist Limited Edition,Butterfly,Chuan Chih Yuan Gold Medalist Limited Edition,9,9,7,9,$250.00,2
Butterfly Clearfield,Butterfly,Clearfield,8.6,7.2,7,7.7,$48.00,2
Butterfly Cofferlait Arylate Carbon,Butterfly,Cofferlait Arylate Carbon,8,8.7,6.2,8.7,$117.00,8
Butterfly Coleus,Butterfly,Coleus,,,,,,1
Butterfly Cresail,Butterfly,Cresail,8.6,9.1,6,8.5,$120.00,2
Butterfly Cryptate,Butterfly,Cryptate,8.2,8.5,8.5,,$65.00,2
Butterfly Cutlass,Butterfly,Cutlass,6.3,8.3,6,8.5,$50.00,3
Butterfly Cypress Alpha-R,Butterfly,Cypress Alpha-R,8,9,5,8,$110.00,1
Butterfly Cypress G-Max,Butterfly,Cypress G-Max,10,9,7,10,$359.00,1
Butterfly Cypress Max,Butterfly,Cypress Max,9.5,8.8,6.7,8.9,$135.00,4
Butterfly Cypress V-Max,Butterfly,Cypress V-Max,9,7,0,9,$236.00,1
Butterfly Cypress-R,Butterfly,Cypress-R,8,9,7,9,$110.00,1
Butterfly Cypress-S,Butterfly,Cypress-S,9.3,8.5,4.6,9.3,$95.00,7
Butterfly Defence 2 (II),Butterfly,Defence 2 (II),7.5,9.2,6.1,9.3,$50.00,15
Butterfly Defence 4 (IV),Butterfly,Defence 4 (IV),7,10,5,10,$77.00,1
Butterfly Defence Alpha,Butterfly,Defence Alpha,4.3,9.2,1.6,8.3,$55.00,11
Butterfly Defence Pro,Butterfly,Defence Pro,7.5,7.8,5,8.3,$100.00,4
Butterfly Defence X,Butterfly,Defence X,6.7,8.3,2.5,8.2,$96.00,4
Butterfly Diode,Butterfly,Diode,6,9,3.5,7.5,$100.00,2
Butterfly Diode V,Butterfly,Diode V,7.5,9.3,6,9,$106.00,2
Butterfly Ester,Butterfly,Ester,8.8,9,6,9.5,$42.00,2
Butterfly Extra Wing,Butterfly,Extra Wing,6.3,9,0,8.5,$78.00,3
Butterfly Feth,Butterfly,Feth,6.6,8.4,4.3,8,$40.00,4
Butterfly Finewood OFF,Butterfly,Finewood OFF,8,10,10,,$79.00,1
Butterfly Firehand,Butterfly,Firehand,9.3,6.9,6.3,7.8,$65.00,11
Butterfly FREITAS ALC,Butterfly,FREITAS ALC,9,9.5,5.7,9.6,$199.00,19
Butterfly Fukuhara Ai Pro ZLF,Butterfly,Fukuhara Ai Pro ZLF,8.8,9.5,4.5,9.4,$239.00,13
Butterfly Fukuhara Ai Special,Butterfly,Fukuhara Ai Special,9.2,8.3,4,9,$120.00,3
Butterfly Garaydia ALC,Butterfly,Garaydia ALC,8.8,8.7,5.4,8.9,$145.00,11
Butterfly Garaydia T5000,Butterfly,Garaydia T5000,9.3,8.6,8.7,9.3,$162.00,9
Butterfly Garaydia ZLC,Butterfly,Garaydia ZLC,9.1,8.9,6.6,9.2,$140.00,16
Butterfly Gergely 21,Butterfly,Gergely 21,9.4,8.1,9.6,9.1,$250.00,11
Butterfly Gergely Alpha,Butterfly,Gergely Alpha,9.4,8.4,6.9,9,$121.00,17
Butterfly Gergely Carbon,Butterfly,Gergely Carbon,9.2,8,8.8,9,$98.00,30
Butterfly Gionis Carbon All+,Butterfly,Gionis Carbon All+,8.4,9.3,5,9,$60.00,4
Butterfly Gionis Carbon Def,Butterfly,Gionis Carbon Def,6.7,9.3,4.3,7.2,$65.00,4
Butterfly Gionis Carbon Off,Butterfly,Gionis Carbon Off,8.4,8.8,5,9.1,$74.00,5
Butterfly Grubba Carbon,Butterfly,Grubba Carbon,7.2,7.1,6.7,7,$80.00,3
Butterfly Grubba Pro,Butterfly,Grubba Pro,6.3,9.2,3.5,8.6,$50.00,8
Butterfly Grubba Variant,Butterfly,Grubba Variant,7.1,8.9,5.5,9,$45.00,4
Butterfly Guo Yue,Butterfly,Guo Yue,5.5,6.8,2.7,6,$80.00,4
Butterfly H.P. Courpierce R,Butterfly,H.P. Courpierce R,10,10,0,10,$60.00,1
Butterfly H.S. Cryzer,Butterfly,H.S. Cryzer,8.6,8.3,3.8,9.4,$100.00,5
Butterfly Hadraw Revolver-R,Butterfly,Hadraw Revolver-R,7,6,7,6,$135.00,1
